,Environment,Algorithm,Goal,Hyperparameter,Value,AUC,Return,Successes
76,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-150,150,optimizer.alpha,0.0003,9.388,4597.4,0.9996370235934664
77,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-105,105,optimizer.alpha,0.001,8.796000000000001,2844.8,0.9760309071417639
78,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-155,155,optimizer.alpha,0.0003,8.758,3412.0,0.9995726495726496
79,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-110,110,optimizer.alpha,0.001,9.709999999999999,5970.0,0.9874701074632369
80,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-160,160,optimizer.alpha,3e-05,9.064,4681.8,0.9996644295302014
81,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-115,115,optimizer.alpha,0.001,2.5740000000000003,329.8,0.2293849732834139
82,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-140,140,optimizer.alpha,0.001,9.518,5147.2,0.9898213125917905
83,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-165,165,optimizer.alpha,0.0003,8.556000000000001,3803.4,0.9992350809709937
84,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-145,145,optimizer.alpha,0.001,9.288,4695.4,0.9916978402223972
85,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-170,170,optimizer.alpha,0.0003,8.862,3247.6,0.9921230562118971
86,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-15,15,optimizer.alpha,0.0003,6.953999999999999,1573.0,0.7071423136799738
87,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-20,20,optimizer.alpha,0.0003,9.357999999999999,5480.0,0.9994060794186899
88,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-150,150,optimizer.alpha,0.001,7.112,2762.6,0.9853218968524885
89,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-25,25,optimizer.alpha,0.0003,9.374,4745.8,0.9989586215672379
90,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-30,30,optimizer.alpha,0.0003,9.366,4919.6,0.9989885758944477
91,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-35,35,optimizer.alpha,0.0003,9.422,5095.0,0.9986688851913478
92,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-40,40,optimizer.alpha,0.0003,9.634,7158.8,1.0
93,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-45,45,optimizer.alpha,0.0001,9.533999999999999,5673.0,0.9994143484626647
94,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-5,5,optimizer.alpha,0.0001,9.16,3855.4,0.9987446703548398
95,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-50,50,optimizer.alpha,0.0003,9.758000000000001,7959.6,1.0
96,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-55,55,optimizer.alpha,0.0003,9.732000000000003,7129.4,0.9997599039615845
97,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-60,60,optimizer.alpha,0.0001,9.082,5475.6,0.9997109826589595
98,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-65,65,optimizer.alpha,0.0003,9.428,6473.0,1.0
99,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-70,70,optimizer.alpha,0.001,9.746,8440.8,0.9995914198161389
100,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-75,75,optimizer.alpha,0.0001,9.266,5241.0,0.9996992481203006
101,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-80,80,optimizer.alpha,0.0001,9.675999999999998,6243.4,0.9997275204359675
102,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-85,85,optimizer.alpha,0.0003,9.156,3707.2,0.9983382752484411
103,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-90,90,optimizer.alpha,0.0003,9.614,7519.0,1.0
104,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-95,95,optimizer.alpha,0.0001,9.284,4933.6,0.99967585089141
105,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-0,0,optimizer.alpha,0.0003,8.864,3231.2,0.9970966328011901
106,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-10,10,optimizer.alpha,0.001,9.434000000000001,3436.8,0.9955471253638486
107,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-100,100,optimizer.alpha,0.001,7.2,1891.2,0.9733420375439812
