,Environment,Algorithm,Goal,Seed,AUC
97,transfer,DQN-FTA-transfer-170,170,0,9.93
98,transfer,DQN-FTA-transfer-170,170,3,9.67
99,transfer,DQN-FTA-transfer-170,170,1,9.19
100,transfer,DQN-FTA-transfer-65,65,2,10.0
101,transfer,DQN-FTA-transfer-65,65,3,10.0
102,transfer,DQN-FTA-transfer-65,65,1,9.94
103,transfer,DQN-FTA-transfer-65,65,4,9.45
104,transfer,DQN-FTA-transfer-65,65,0,10.0
105,transfer,DQN-FTA-transfer-90,90,3,9.98
106,transfer,DQN-FTA-transfer-90,90,1,10.0
107,transfer,DQN-FTA-transfer-90,90,4,9.39
108,transfer,DQN-FTA-transfer-90,90,2,9.2
109,transfer,DQN-FTA-transfer-90,90,0,9.629999999999999
110,transfer,DQN-FTA-transfer-35,35,1,10.0
111,transfer,DQN-FTA-transfer-35,35,3,10.0
112,transfer,DQN-FTA-transfer-35,35,4,9.39
113,transfer,DQN-FTA-transfer-35,35,2,10.0
114,transfer,DQN-FTA-transfer-35,35,0,9.95
115,transfer,DQN-FTA-transfer-130,130,1,9.2
116,transfer,DQN-FTA-transfer-130,130,3,10.0
117,transfer,DQN-FTA-transfer-130,130,2,9.1
118,transfer,DQN-FTA-transfer-130,130,4,9.25
119,transfer,DQN-FTA-transfer-130,130,0,9.08
120,transfer,DQN-FTA-transfer-120,120,0,9.370000000000001
121,transfer,DQN-FTA-transfer-120,120,2,9.11
122,transfer,DQN-FTA-transfer-120,120,4,9.32
123,transfer,DQN-FTA-transfer-120,120,1,9.64
124,transfer,DQN-FTA-transfer-120,120,3,8.14
125,transfer,DQN-FTA-transfer-15,15,2,10.0
126,transfer,DQN-FTA-transfer-15,15,3,10.0
127,transfer,DQN-FTA-transfer-15,15,0,9.42
128,transfer,DQN-FTA-transfer-15,15,1,10.0
129,transfer,DQN-FTA-transfer-15,15,4,9.73
130,transfer,DQN-FTA-transfer-100,100,0,9.96
131,transfer,DQN-FTA-transfer-100,100,2,9.219999999999999
132,transfer,DQN-FTA-transfer-100,100,4,9.56
133,transfer,DQN-FTA-transfer-100,100,3,9.32
134,transfer,DQN-FTA-transfer-100,100,1,9.81
135,transfer,DQN-FTA-transfer-140,140,0,9.94
136,transfer,DQN-FTA-transfer-140,140,4,9.71
137,transfer,DQN-FTA-transfer-140,140,3,9.19
138,transfer,DQN-FTA-transfer-140,140,1,9.98
139,transfer,DQN-FTA-transfer-140,140,2,9.06
140,transfer,DQN-FTA-transfer-45,45,0,10.0
141,transfer,DQN-FTA-transfer-45,45,3,9.18
142,transfer,DQN-FTA-transfer-45,45,2,10.0
143,transfer,DQN-FTA-transfer-45,45,4,8.57
144,transfer,DQN-FTA-transfer-45,45,1,10.0
145,transfer,DQN-FTA-transfer-0,0,4,9.629999999999999
146,transfer,DQN-FTA-transfer-0,0,2,8.36
147,transfer,DQN-FTA-transfer-0,0,0,9.45
148,transfer,DQN-FTA-transfer-0,0,1,9.98
149,transfer,DQN-FTA-transfer-0,0,3,8.99
150,transfer,DQN-FTA-transfer-110,110,3,10.0
151,transfer,DQN-FTA-transfer-110,110,4,9.17
152,transfer,DQN-FTA-transfer-110,110,2,9.99
153,transfer,DQN-FTA-transfer-110,110,1,9.91
154,transfer,DQN-FTA-transfer-110,110,0,9.99
155,transfer,DQN-FTA-transfer-55,55,4,9.530000000000001
156,transfer,DQN-FTA-transfer-55,55,1,9.57
157,transfer,DQN-FTA-transfer-55,55,0,9.36
158,transfer,DQN-FTA-transfer-55,55,3,9.08
159,transfer,DQN-FTA-transfer-55,55,2,10.0
160,transfer,DQN-FTA-transfer-75,75,4,9.55
161,transfer,DQN-FTA-transfer-75,75,0,9.629999999999999
162,transfer,DQN-FTA-transfer-75,75,2,9.620000000000001
163,transfer,DQN-FTA-transfer-75,75,3,9.9
164,transfer,DQN-FTA-transfer-75,75,1,9.46
165,transfer,DQN-FTA-transfer-80,80,2,9.120000000000001
166,transfer,DQN-FTA-transfer-80,80,1,9.48
167,transfer,DQN-FTA-transfer-80,80,0,10.0
168,transfer,DQN-FTA-transfer-80,80,3,10.0
169,transfer,DQN-FTA-transfer-80,80,4,9.79
170,transfer,DQN-FTA-transfer-150,150,1,9.59
171,transfer,DQN-FTA-transfer-150,150,3,8.58
172,transfer,DQN-FTA-transfer-150,150,4,9.01
173,transfer,DQN-FTA-transfer-150,150,2,8.11
174,transfer,DQN-FTA-transfer-150,150,0,9.73
