,Environment,Algorithm,Goal,Seed,AUC,Experiment
162,transfer,DQN-ReLU-vf5-transfer-72,73,1,10.0,DQN-ReLU-vf5-transfer
163,transfer,DQN-ReLU-vf5-transfer-72,73,3,10.0,DQN-ReLU-vf5-transfer
164,transfer,DQN-ReLU-vf5-transfer-72,73,2,10.0,DQN-ReLU-vf5-transfer
165,transfer,DQN-ReLU-vf5-transfer-113,114,3,9.03,DQN-ReLU-vf5-transfer
166,transfer,DQN-ReLU-vf5-transfer-113,114,4,10.0,DQN-ReLU-vf5-transfer
167,transfer,DQN-ReLU-vf5-transfer-113,114,2,9.0,DQN-ReLU-vf5-transfer
168,transfer,DQN-ReLU-vf5-transfer-113,114,1,9.11,DQN-ReLU-vf5-transfer
169,transfer,DQN-ReLU-vf5-transfer-113,114,0,9.54,DQN-ReLU-vf5-transfer
170,transfer,DQN-ReLU-transfer-1,2,4,10.0,DQN-ReLU-transfer
171,transfer,DQN-ReLU-transfer-1,2,2,9.99,DQN-ReLU-transfer
172,transfer,DQN-ReLU-transfer-1,2,0,10.0,DQN-ReLU-transfer
173,transfer,DQN-ReLU-transfer-1,2,1,9.8,DQN-ReLU-transfer
174,transfer,DQN-ReLU-transfer-1,2,3,10.0,DQN-ReLU-transfer
175,transfer,DQN-ReLU-vf5-transfer-91,92,4,9.07,DQN-ReLU-vf5-transfer
176,transfer,DQN-ReLU-vf5-transfer-91,92,2,9.98,DQN-ReLU-vf5-transfer
177,transfer,DQN-ReLU-vf5-transfer-91,92,0,10.0,DQN-ReLU-vf5-transfer
178,transfer,DQN-ReLU-vf5-transfer-91,92,1,10.0,DQN-ReLU-vf5-transfer
179,transfer,DQN-ReLU-vf5-transfer-91,92,3,10.0,DQN-ReLU-vf5-transfer
180,transfer,DQN-ReLU-vf5-transfer-128,129,2,9.39,DQN-ReLU-vf5-transfer
181,transfer,DQN-ReLU-vf5-transfer-128,129,1,9.93,DQN-ReLU-vf5-transfer
182,transfer,DQN-ReLU-vf5-transfer-128,129,3,9.99,DQN-ReLU-vf5-transfer
183,transfer,DQN-ReLU-vf5-transfer-128,129,4,9.99,DQN-ReLU-vf5-transfer
184,transfer,DQN-ReLU-vf5-transfer-128,129,0,10.0,DQN-ReLU-vf5-transfer
