,Environment,Algorithm,Goal,Seed,AUC
227,transfer,DQN-ReLU-vf5-transfer-44,44,0,9.06
228,transfer,DQN-ReLU-vf5-transfer-44,44,2,9.96
229,transfer,DQN-ReLU-vf5-transfer-44,44,1,10.0
230,transfer,DQN-ReLU-transfer-161,161,0,8.9
231,transfer,DQN-ReLU-transfer-161,161,2,8.01
232,transfer,DQN-ReLU-transfer-161,161,1,9.09
233,transfer,DQN-ReLU-transfer-161,161,4,8.57
234,transfer,DQN-ReLU-transfer-161,161,3,8.82
235,transfer,DQN-ReLU-vf5-transfer-129,129,4,9.41
236,transfer,DQN-ReLU-vf5-transfer-129,129,3,9.41
237,transfer,DQN-ReLU-vf5-transfer-129,129,0,10.0
238,transfer,DQN-ReLU-vf5-transfer-129,129,1,9.27
239,transfer,DQN-ReLU-vf5-transfer-129,129,2,9.99
240,transfer,DQN-ReLU-transfer-157,157,0,9.43
241,transfer,DQN-ReLU-transfer-157,157,1,9.86
242,transfer,DQN-ReLU-transfer-157,157,2,9.83
243,transfer,DQN-ReLU-transfer-157,157,4,8.7
244,transfer,DQN-ReLU-transfer-157,157,3,9.18
245,transfer,DQN-ReLU-vf5-transfer-165,165,2,10.0
246,transfer,DQN-ReLU-vf5-transfer-165,165,1,10.0
247,transfer,DQN-ReLU-vf5-transfer-165,165,4,9.99
248,transfer,DQN-ReLU-vf5-transfer-165,165,3,9.75
249,transfer,DQN-ReLU-vf5-transfer-165,165,0,9.96
250,transfer,DQN-ReLU-transfer-83,83,2,3.57
251,transfer,DQN-ReLU-transfer-83,83,4,2.2600000000000002
252,transfer,DQN-ReLU-transfer-83,83,3,9.24
253,transfer,DQN-ReLU-transfer-83,83,0,8.870000000000001
254,transfer,DQN-ReLU-transfer-83,83,1,8.02
255,transfer,DQN-ReLU-vf5-transfer-64,64,4,9.95
256,transfer,DQN-ReLU-vf5-transfer-64,64,0,10.0
257,transfer,DQN-ReLU-vf5-transfer-64,64,2,8.22
258,transfer,DQN-ReLU-vf5-transfer-64,64,1,9.43
259,transfer,DQN-ReLU-vf5-transfer-64,64,3,9.29
260,transfer,DQN-ReLU-transfer-17,17,2,9.94
261,transfer,DQN-ReLU-transfer-17,17,3,10.0
262,transfer,DQN-ReLU-transfer-17,17,4,9.969999999999999
263,transfer,DQN-ReLU-transfer-17,17,0,10.0
264,transfer,DQN-ReLU-transfer-17,17,1,10.0
265,transfer,DQN-ReLU-vf5-transfer-125,125,0,9.57
266,transfer,DQN-ReLU-vf5-transfer-125,125,1,7.21
267,transfer,DQN-ReLU-vf5-transfer-125,125,4,9.43
268,transfer,DQN-ReLU-vf5-transfer-125,125,2,8.79
269,transfer,DQN-ReLU-vf5-transfer-125,125,3,9.370000000000001
270,transfer,DQN-ReLU-vf5-transfer-45,45,2,9.15
271,transfer,DQN-ReLU-vf5-transfer-45,45,4,9.0
272,transfer,DQN-ReLU-vf5-transfer-45,45,1,10.0
273,transfer,DQN-ReLU-vf5-transfer-45,45,3,9.9
274,transfer,DQN-ReLU-vf5-transfer-45,45,0,9.73
275,transfer,DQN-ReLU-vf5-transfer-24,24,3,9.99
276,transfer,DQN-ReLU-vf5-transfer-24,24,4,9.969999999999999
277,transfer,DQN-ReLU-vf5-transfer-24,24,2,10.0
278,transfer,DQN-ReLU-vf5-transfer-24,24,0,9.6
279,transfer,DQN-ReLU-vf5-transfer-24,24,1,10.0
280,transfer,DQN-ReLU-vf5-transfer-132,132,4,10.0
281,transfer,DQN-ReLU-vf5-transfer-132,132,1,9.99
282,transfer,DQN-ReLU-vf5-transfer-132,132,0,9.07
283,transfer,DQN-ReLU-vf5-transfer-132,132,3,10.0
284,transfer,DQN-ReLU-vf5-transfer-132,132,2,10.0
285,transfer,DQN-ReLU-vf5-transfer-28,28,0,9.219999999999999
