,Environment,Algorithm,Steps,Run,AUC,Return,P_AUC
117,DRQN-3.json,DRQN-3,500000,20,0.5149265872019875,2574.632936009937,0.5442265926047876
118,DRQN-3.json,DRQN-3,500000,17,0.5703986979520321,2851.9934897601606,0.4906722260218199
119,DRQN-3.json,DRQN-3,500000,14,0.3843636847171174,1921.818423585587,0.347057243588446
120,DQN-13.json,DQN-13,500000,9,0.8909486729586191,4454.743364793096,1.2435328255708897
121,DQN-13.json,DQN-13,500000,6,0.9680513769126851,4840.256884563425,1.3321368459964038
122,DQN-13.json,DQN-13,500000,15,0.9479923103118574,4739.961551559287,1.3331138686440804
123,DQN-13.json,DQN-13,500000,21,0.943611428301757,4718.057141508785,1.4114891538612224
124,DQN-13.json,DQN-13,500000,0,1.1196874859479475,5598.437429739737,1.5090521466268056
125,DQN-13.json,DQN-13,500000,12,1.0218944730263577,5109.472365131788,1.2951355403874727
126,DQN-13.json,DQN-13,500000,3,0.9163309865713097,4581.654932856549,1.2388824476978482
127,DQN-13.json,DQN-13,500000,18,1.1338872311261636,5669.436155630818,1.4708334650260435
128,DQN-13.json,DQN-13,500000,24,0.8635025780027691,4317.512890013845,1.2263871911184523
129,DQN-13.json,DQN-13,500000,27,1.0152006068979882,5076.003034489941,1.3667992142951184
130,DQN-13.json,DQN-13,500000,1,0.8381531288737329,4190.765644368665,1.2507182759050393
131,DQN-13.json,DQN-13,500000,7,1.0655766012714685,5327.883006357342,1.5077473364391198
132,DQN-13.json,DQN-13,500000,10,0.7774975817060374,3887.4879085301873,1.0793102965923231
133,DQN-13.json,DQN-13,500000,4,0.9139307418909861,4569.65370945493,1.4281805580789224
134,DQN-13.json,DQN-13,500000,16,0.9343590888953002,4671.795444476501,1.273728590725162
135,DQN-13.json,DQN-13,500000,13,0.769547689605973,3847.738448029865,1.0758654999049626
136,DQN-13.json,DQN-13,500000,19,1.0550354306403367,5275.177153201683,1.3842433389992794
137,DQN-13.json,DQN-13,500000,25,0.9957056175282929,4978.5280876414645,1.2649094998420682
138,DQN-13.json,DQN-13,500000,22,0.985470132108876,4927.35066054438,1.2922573214811166
139,DQN-13.json,DQN-13,500000,28,0.9896319494326339,4948.159747163169,1.3487399746571276
