,Environment,Algorithm,Goal,Steps,Run,AUC,Return,Successes
68,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-145,145,100000,1,8.93,5755.0,1.0
69,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-145,145,100000,2,9.43,5799.0,1.0
70,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-40,40,100000,0,9.54,7032.0,1.0
71,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-40,40,100000,3,9.87,7802.0,1.0
72,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-40,40,100000,1,9.94,8044.0,1.0
73,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-40,40,100000,4,9.64,7455.0,1.0
74,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-40,40,100000,2,8.65,6584.0,1.0
75,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-155,155,100000,3,9.66,4181.0,1.0
76,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-155,155,100000,0,8.7,3820.0,0.9979338842975206
77,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-155,155,100000,4,7.43,3344.0,1.0
78,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-155,155,100000,1,8.09,3592.0,1.0
79,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-155,155,100000,2,7.1000000000000005,3055.0,1.0
80,gridworld_drqn_2_16_transfer,DRQN-ReLU-Gridworld-75,75,100000,0,9.09,4762.0,1.0
81,gridworld_drqn_2_16_transfer,DRQN-ReLU-Gridworld-75,75,100000,3,9.85,5768.0,1.0
82,gridworld_drqn_2_16_transfer,DRQN-ReLU-Gridworld-75,75,100000,4,8.69,4767.0,1.0
83,gridworld_drqn_2_16_transfer,DRQN-ReLU-Gridworld-75,75,100000,1,8.66,3977.0,0.9947183098591548
84,gridworld_drqn_2_16_transfer,DRQN-ReLU-Gridworld-75,75,100000,2,9.22,5444.0,1.0
85,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-95,95,100000,0,9.87,5538.0,1.0
86,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-95,95,100000,3,9.18,5120.0,1.0
87,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-95,95,100000,4,8.8,5053.0,1.0
88,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-95,95,100000,1,9.85,5611.0,1.0
89,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-95,95,100000,2,8.65,4884.0,1.0
90,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-165,165,100000,3,9.29,4808.0,1.0
91,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-165,165,100000,0,9.17,4727.0,0.9980988593155894
92,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-165,165,100000,1,9.29,4826.0,1.0
93,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-165,165,100000,4,8.09,4044.0,1.0
94,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-165,165,100000,2,9.89,4986.0,1.0
95,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-25,25,100000,0,8.31,4669.0,1.0
96,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-25,25,100000,3,8.24,4715.0,1.0
97,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-25,25,100000,1,8.69,4838.0,1.0
