,Environment,Algorithm,Goal,Seed,AUC
77,transfer,DQN-ReLU-transfer-D,119,3,8.08
78,transfer,DQN-ReLU-transfer-D,119,1,7.95
79,transfer,DQN-ReLU-transfer-D,119,0,8.94
80,transfer,DQN-ReLU-transfer-F,48,1,9.969999999999999
81,transfer,DQN-ReLU-transfer-F,48,2,10.0
82,transfer,DQN-ReLU-transfer-F,48,4,9.94
83,transfer,DQN-ReLU-transfer-F,48,0,9.94
84,transfer,DQN-ReLU-transfer-F,48,3,9.98
85,transfer,DQN-ReLU-vf5-transfer-F,48,2,10.0
86,transfer,DQN-ReLU-vf5-transfer-F,48,4,9.879999999999999
87,transfer,DQN-ReLU-vf5-transfer-F,48,3,9.68
88,transfer,DQN-ReLU-vf5-transfer-F,48,0,9.99
89,transfer,DQN-ReLU-vf5-transfer-F,48,1,10.0
